"name","team","position","height_inches","wingspan_inches","wingspan_advantage","g","mp","pts","orb","drb","trb","ast","stl","blk","o_rtg","d_rtg","e_fg_percent","ft_percent","fg_percent","avg_dist_of_fg","X2pt_rate","X3pt_rate","X2pt_percent","X3pt_percent","dunk_rate","residuals","fitted"
"AJ Johnson","WAS","SG",76.25,80.5,4.25,29,639,16.4,0.6,3.8,4.4,5.7,0.9,0.2,98,123,0.441,0.865,0.385,12,0.577,0.423,0.472,0.267,0.099,-3.1364166650419,7.5364166650419
"Aaron Gordon","DEN","PF",79.5,83.75,4.25,51,1447,24.9,2.7,5.5,8.2,5.5,0.8,0.5,129,120,0.607,0.81,0.531,11.8,0.654,0.346,0.582,0.436,0.141,-1.60733127550383,9.80733127550383
"Aaron Holiday","HOU","PG",71.75,79.5,7.75,62,792,20.9,0.8,4,4.8,5.1,1.2,0.7,121,114,0.571,0.829,0.437,20.8,0.325,0.675,0.517,0.398,0,-2.03767370797751,6.83767370797751
"Aaron Nesmith","IND","SF",77,82,5,45,1123,23.2,1.6,6,7.6,2.3,1.5,0.7,124,116,0.617,0.913,0.507,15.7,0.485,0.515,0.587,0.431,0.042,-0.984531100640036,8.58453110064004
"Aaron Wiggins","OKC","SG",76.5,81.75,5.25,76,1744,25.2,2.2,5.9,8.1,3.7,1.7,0.5,119,110,0.577,0.831,0.488,14.2,0.534,0.466,0.578,0.383,0.027,-0.309845361373783,8.40984536137378
"Adem Bona","PHI","C",80.25,87.75,7.5,58,905,18.4,5,8.3,13.3,1.5,1.4,3.8,123,115,0.703,0.67,0.703,2.3,0.995,0.005,0.707,0,0.401,0.697696896236166,12.6023031037638
"Ajay Mitchell","OKC","SG",75.25,78.25,3,36,597,18.8,1.4,4,5.5,5.1,2,0.3,117,111,0.557,0.829,0.495,12.2,0.674,0.326,0.548,0.383,0.005,-0.464245011646253,5.96424501164625
"Al Horford","BOS","C",80,84.75,4.75,60,1659,16.3,2.4,8.8,11.2,3.9,1.1,1.5,121,111,0.547,0.895,0.423,19,0.319,0.681,0.551,0.363,0.017,0.69392576743119,10.5060742325688
"Alec Burks","MIA","SG",77,82,5,49,863,20.6,0.9,6.3,7.2,3.2,1.6,0.4,117,114,0.587,0.776,0.424,20.8,0.236,0.764,0.422,0.425,0,-1.38453110064004,8.58453110064004
"Alex Caruso","OKC","PG",76,78,2,54,1041,17.6,1.8,5.6,7.3,6.3,4,1.4,122,104,0.541,0.824,0.446,15.2,0.459,0.541,0.556,0.353,0.029,1.51044072762,5.78955927238
"Alex Len","LAL","C",83.5,87.5,4,46,380,9.5,4.9,7.3,12.2,4.9,1.2,2.7,114,114,0.524,0.471,0.508,7.5,0.857,0.143,0.556,0.222,0.206,-0.227617364497583,12.4276173644976
"Alex Sarr","WAS","PF",83.75,88.25,4.5,67,1814,22.8,3.3,8.2,11.4,4.2,1.2,2.6,99,117,0.457,0.679,0.394,14.4,0.588,0.412,0.454,0.308,0.077,-1.55167458229634,12.9516745822963
"Alperen ÅžengÃ¼n","HOU","C",82,84.5,2.5,76,2395,29.5,5.3,10.7,16,7.6,1.7,1.2,116,108,0.505,0.692,0.496,7.5,0.921,0.079,0.519,0.233,0.067,5.66861150669744,10.3313884933026
"Amen Thompson","HOU","SF",77.75,84,6.25,69,2225,21.2,4.2,8.1,12.3,5.8,2.1,1.9,123,108,0.575,0.684,0.557,7.8,0.869,0.131,0.599,0.275,0.212,2.31798298522995,9.98201701477005
"Amir Coffey","LAC","SF",78.75,79.25,0.5,72,1748,19.6,0.9,3.6,4.5,2.2,1.1,0.2,122,115,0.57,0.891,0.471,16.2,0.516,0.484,0.529,0.409,0.063,-2.16298796871126,6.66298796871126
"Andre Drummond","PHI","C",81.75,90.25,8.5,40,751,19.2,7.2,13.2,20.4,2.2,2.6,1.2,108,112,0.506,0.622,0.5,5.4,0.915,0.085,0.533,0.15,0.171,6.05083950357364,14.3491604964264
"Andre Jackson Jr.","MIL","SF",77.5,81.75,4.25,67,980,11.3,3.2,5.8,9,4.1,1.7,0.7,107,114,0.553,0.5,0.477,12.2,0.614,0.386,0.529,0.395,0.147,0.590154638626217,8.40984536137378
"Andrew Nembhard","IND","PG",75,77.75,2.75,65,1881,16.7,0.9,4.7,5.5,8.3,2,0.3,111,116,0.506,0.794,0.458,14.9,0.675,0.325,0.538,0.291,0.002,-0.114873533113749,5.61487353311375
"Andrew Wiggins","MIA","SF",79,84,5,60,1842,28.7,2.4,4.8,7.2,4.2,1.6,1.3,113,113,0.526,0.763,0.448,14.5,0.585,0.415,0.501,0.374,0.052,-2.78201701477005,9.98201701477005
"Anfernee Simons","POR","PG",74.25,81.25,7,70,2292,28.6,0.5,3.5,4,7.1,1.3,0.1,115,119,0.521,0.902,0.426,17.9,0.473,0.527,0.496,0.363,0.014,-4.06047388284128,8.06047388284128
"Anthony Black","ORL","PG",77.75,79.5,1.75,78,1887,19.5,1.4,4.7,6.1,6.4,2.3,1.3,103,110,0.473,0.761,0.423,12,0.685,0.315,0.471,0.318,0.06,-0.737673707977515,6.83767370797751
